frequency,amb,flag,channel
5.0,5.82e-15,Upper Limit,H1:PEM-EY_ACC_BSC10_ETMY_Y
5.1,3.0200000000000003e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.2,2.25e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.3,1.89e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.4,1.99e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.5,1.25e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.6,8.61e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.7,9.06e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.8,8.179999999999999e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
5.9,8.029999999999999e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.0,7.22e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.1,1.1599999999999999e-16,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.2,9.58e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.3,6.79e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.4,5.579999999999999e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.5,5.11e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.6,3.7900000000000003e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.7,4.42e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.8,4.47e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
6.9,3.0199999999999996e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
7.0,2.45e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
7.1,2.0100000000000002e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
7.2,1.87e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
7.3,1.98e-17,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
