frequency,amb,flag,channel
19.1,5.03e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.2,4.16e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.3,3.27e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.4,3.11e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.5,3.2e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.6,3.23e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.7,2.89e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.8,2.31e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
19.9,2.34e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.0,2.23e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.1,2.28e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.2,2.24e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.3,1.89e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.4,1.89e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.5,2.23e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.6,2.98e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.7,3.51e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.8,3.07e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
20.9,2.44e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.0,1.84e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.1,2.51e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.4,1.98e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.5,1.59e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.6,1.65e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.7,1.24e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.8,1.02e-20,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
21.9,9.3e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.0,8.92e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.1,9.1e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.2,8.95e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.3,7.57e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.4,6.69e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.5,6.6e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.6,5.99e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.7,5.23e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.8,5.57e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
22.9,5.79e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.0,5.66e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.1,6.21e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.2,7.53e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.3,7.38e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.4,6.04e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.5,5.32e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.6,5.24e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.7,6.41e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.8,7.03e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
23.9,6.5e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.0,6.17e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.1,5.75e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.2,5.51e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.3,4.72e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.4,4.27e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.5,5.19e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.6,5.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.7,4.96e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.8,4.29e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
24.9,3.91e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.0,4.48e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.1,4.28e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.2,3.92e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.3,4.29e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.4,3.78e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.5,3.01e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.6,2.83e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.7,2.84e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.8,2.65e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
25.9,2.19e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.0,2.11e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.1,2.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.2,2.65e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.3,2.79e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.4,3.11e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.5,3.31e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.6,2.99e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.7,2.35e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.8,2.21e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
26.9,2.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.0,2.37e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.1,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.2,2.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.3,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.4,2.21e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.5,2.39e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.6,2.46e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.7,3.52e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.8,6.06e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.9,5.87e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.0,2.69e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
