frequency,amb,flag,darm
5.0,0.0,0,7.63e-14
5.03,0.0,0,6.82e-14
5.06,0.0,0,6.34e-14
5.09,0.0,0,6.56e-14
5.12,0.0,0,6.7e-14
5.15,0.0,0,6.01e-14
5.18,0.0,0,5.84e-14
5.21,0.0,0,5.79e-14
5.24,0.0,0,6.24e-14
5.27,0.0,0,6.01e-14
5.3,0.0,0,4.84e-14
5.33,0.0,0,4.4e-14
5.36,0.0,0,3.74e-14
5.39,0.0,0,3.61e-14
5.42,0.0,0,3.41e-14
5.45,0.0,0,3.44e-14
5.48,0.0,0,4.2e-14
5.52,0.0,0,3.32e-14
5.55,0.0,0,3.26e-14
5.58,0.0,0,2.93e-14
5.61,0.0,0,2.7e-14
5.64,0.0,0,2.97e-14
5.67,0.0,0,3.37e-14
5.7,0.0,0,2.85e-14
5.73,0.0,0,2.73e-14
5.76,0.0,0,2.9e-14
5.79,0.0,0,2.95e-14
5.82,0.0,0,3.09e-14
5.85,0.0,0,3.14e-14
5.88,0.0,0,2.98e-14
5.91,0.0,0,3.41e-14
5.955,0.0,0,3.74e-14
6.0,0.0,0,3.67e-14
6.03,0.0,0,3.57e-14
6.06,0.0,0,4.93e-14
6.09,0.0,0,1.0300000000000002e-13
6.12,0.0,0,8.68e-14
6.15,0.0,0,3.73e-14
6.18,0.0,0,3.61e-14
6.21,0.0,0,3.64e-14
6.24,0.0,0,3.47e-14
6.27,0.0,0,2.06e-14
6.3,0.0,0,1.41e-14
6.33,0.0,0,1.78e-14
6.375,0.0,0,1.5249999999999998e-14
6.42,0.0,0,1.49e-14
6.45,0.0,0,1.21e-14
6.48,0.0,0,1.07e-14
6.52,0.0,0,1.19e-14
6.55,0.0,0,1.06e-14
6.58,0.0,0,7.459999999999999e-15
6.61,0.0,0,9.04e-15
6.64,0.0,0,8.2e-15
6.67,0.0,0,5.65e-15
6.715,0.0,0,4.96e-15
6.76,0.0,0,5e-15
6.79,0.0,0,4.92e-15
6.82,0.0,0,5.17e-15
6.85,0.0,0,5.3200000000000005e-15
6.88,0.0,0,5.01e-15
6.91,0.0,0,5.81e-15
6.94,0.0,0,4.3399999999999995e-15
6.984999999999999,0.0,0,3.9900000000000005e-15
7.03,0.0,0,3.25e-15
7.06,0.0,0,2.95e-15
7.09,0.0,0,2.75e-15
7.12,0.0,0,3.2e-15
7.15,0.0,0,3.21e-15
7.18,0.0,0,2.98e-15
7.225,0.0,0,3.2449999999999997e-15
7.27,0.0,0,4.8100000000000005e-15
7.3,0.0,0,4.27e-15
7.33,0.0,0,5.3200000000000005e-15
7.36,0.0,0,3.87e-15
7.39,0.0,0,2.6e-15
7.42,0.0,0,2.21e-15
7.465,0.0,0,3.17e-15
7.52,0.0,0,5.129999999999999e-15
7.55,0.0,0,4.83e-15
7.58,0.0,0,3.11e-15
7.61,0.0,0,1.79e-15
7.654999999999999,0.0,0,2.21e-15
