frequency,darm
5.0,3.52e-14
5.1,3.22e-14
5.2,2.73e-14
5.3,2.03e-14
5.4,1.61e-14
5.5,1.36e-14
5.6,1.03e-14
5.7,9.540000000000001e-15
5.8,5.979999999999999e-15
5.9,6.2700000000000005e-15
6.0,4.64e-15
6.1,3.69e-15
6.2,3.5899999999999996e-15
6.3,3.2799999999999997e-15
6.4,2.82e-15
6.5,2.49e-15
6.6,1.79e-15
6.7,1.82e-15
6.8,1.27e-15
6.9,1.1699999999999999e-15
7.0,9.22e-16
7.1,8.94e-16
7.2,7.93e-16
7.3,5.849999999999999e-16
7.4,5.64e-16
7.5,6.110000000000001e-16
7.6,4.3e-16
7.7,3.5e-16
7.8,3.41e-16
7.9,3.34e-16
8.0,2.91e-16
8.1,2.92e-16
8.2,2.6e-16
8.3,2.51e-16
8.4,1.95e-16
8.5,2.1899999999999998e-16
8.6,2.1e-16
8.7,1.84e-16
8.8,1.8600000000000001e-16
8.9,1.6599999999999999e-16
9.0,1.67e-16
9.1,1.6e-16
9.2,1.46e-16
9.3,1.47e-16
9.4,1.73e-16
9.5,1.89e-16
9.6,1.84e-16
9.7,1.3999999999999998e-16
9.8,1.85e-16
9.9,1.3600000000000002e-16
10.0,1.07e-16
10.1,8.809999999999999e-17
10.2,9.47e-17
10.3,7.879999999999999e-17
10.4,6.78e-17
10.5,6.39e-17
10.6,5.829999999999999e-17
10.7,6.03e-17
10.8,5.08e-17
10.9,4.6200000000000004e-17
11.0,3.8e-17
11.1,2.96e-17
11.2,2.8600000000000005e-17
11.3,2.22e-17
11.4,2.44e-17
11.5,2.36e-17
11.6,1.66e-17
11.7,1.79e-17
11.8,1.6e-17
11.9,1.32e-17
12.0,1.2e-17
12.1,1.17e-17
12.2,1.21e-17
12.3,1.13e-17
12.4,9.1e-18
12.5,7.56e-18
12.6,7.07e-18
12.7,7.11e-18
12.8,7.29e-18
12.9,6.98e-18
13.0,5.81e-18
13.1,5.6099999999999994e-18
13.2,5.43e-18
13.3,4.94e-18
