frequency,darm
5.0,6.12e-14
5.1,5.57e-14
5.2,4.81e-14
5.3,3.46e-14
5.4,3.38e-14
5.5,3.02e-14
5.6,2.58e-14
5.7,2.69e-14
5.8,2.42e-14
5.9,2.68e-14
6.0,2.9e-14
6.1,3.85e-14
6.2,2.75e-14
6.3,1.78e-14
6.4,1.05e-14
6.5,6.89e-15
6.6,6.21e-15
6.7,5.129999999999999e-15
6.8,4.4399999999999996e-15
6.9,4.01e-15
7.0,3.26e-15
7.1,2.64e-15
7.2,2.64e-15
7.3,3.4299999999999997e-15
7.4,3.0899999999999997e-15
7.5,2.33e-15
7.6,2.42e-15
7.7,1.7300000000000001e-15
7.8,1.94e-15
7.9,1.42e-15
8.0,7.52e-16
8.1,1.14e-15
8.2,1.25e-15
8.3,9.33e-16
8.4,9.91e-16
8.5,7.78e-16
8.6,4.78e-16
8.7,4.71e-16
8.8,3.9e-16
8.9,3.3199999999999997e-16
9.0,3.67e-16
9.1,3.0800000000000003e-16
9.2,2.0699999999999999e-16
9.3,1.5900000000000002e-16
9.4,1.46e-16
9.5,1.23e-16
9.6,2.51e-16
9.7,2.52e-16
9.8,1.5400000000000001e-16
9.9,8.8e-17
10.0,7.27e-17
10.1,8.77e-17
10.2,6.94e-17
10.3,3.89e-17
10.4,3.4999999999999996e-17
10.5,3.03e-17
10.6,3.22e-17
10.7,3.45e-17
10.8,3.03e-17
10.9,2.7899999999999995e-17
11.0,2.4e-17
11.1,2.3100000000000002e-17
11.2,1.79e-17
11.3,1.66e-17
11.4,2.05e-17
11.5,1.81e-17
11.6,1.6e-17
11.7,1.7000000000000002e-17
11.8,1.54e-17
11.9,1.3400000000000001e-17
12.0,1.0099999999999999e-17
12.1,8.8e-18
12.2,9.54e-18
12.3,8.19e-18
12.4,4.96e-18
12.5,4.14e-18
12.6,4.1000000000000005e-18
12.7,4.32e-18
12.8,4.51e-18
12.9,4.93e-18
13.0,5.5e-18
13.1,5.04e-18
13.2,4.55e-18
13.3,4.33e-18
13.4,5.0099999999999995e-18
13.5,6.31e-18
13.6,1.21e-17
13.7,1.63e-17
13.8,1.3600000000000002e-17
13.9,8.59e-18
14.0,5.58e-18
14.1,2.5600000000000002e-18
14.2,2.01e-18
14.3,2.17e-18
14.4,2.01e-18
14.5,1.7299999999999998e-18
14.6,1.65e-18
14.7,1.89e-18
14.8,1.91e-18
14.9,7.040000000000001e-17
15.0,2.04e-16
15.1,2e-16
15.2,6.6e-17
15.3,1.39e-18
15.4,1.46e-18
15.5,7.87e-17
15.6,2.3e-16
15.7,2.25e-16
15.8,7.41e-17
15.9,1.19e-18
16.0,1.12e-18
16.1,8.69e-17
16.2,2.54e-16
16.3,2.49e-16
16.4,8.25e-17
16.5,1.55e-18
16.6,1.3299999999999999e-18
16.7,9.490000000000001e-17
16.8,2.78e-16
16.9,2.73e-16
17.0,9.009999999999999e-17
17.1,1.43e-18
17.2,1.31e-18
17.3,1.1400000000000001e-18
17.4,9.98e-19
17.5,8.86e-19
17.6,8.6e-19
17.7,7.4700000000000005e-19
17.8,8.190000000000001e-19
17.9,7.95e-19
18.0,7.75e-19
18.1,8.790000000000001e-19
18.2,7.240000000000001e-19
18.3,7.240000000000001e-19
18.4,7.2e-19
18.5,6.74e-19
18.6,5.99e-19
