#combfreq:
#linefreq:
frequency,factor,factor_counts,flag,sensINJ,sensBG,darmINJ,darmBG
5.00,0.00e+00,0.00e+00,No data,2.99e-08,2.22e-09,5.35e-14,5.15e-14
5.10,0.00e+00,0.00e+00,No data,2.79e-08,1.80e-09,4.38e-14,4.22e-14
5.20,0.00e+00,0.00e+00,No data,1.97e-08,1.63e-09,3.68e-14,4.40e-14
5.30,0.00e+00,0.00e+00,No data,2.27e-08,1.86e-09,2.89e-14,3.70e-14
5.40,0.00e+00,0.00e+00,No data,2.21e-08,2.36e-09,2.09e-14,2.41e-14
5.50,0.00e+00,0.00e+00,No data,2.28e-08,2.68e-09,1.72e-14,1.65e-14
5.60,0.00e+00,0.00e+00,No data,2.31e-08,2.57e-09,1.82e-14,1.55e-14
5.70,0.00e+00,0.00e+00,No data,2.25e-08,2.22e-09,1.75e-14,1.56e-14
5.80,0.00e+00,0.00e+00,No data,1.87e-08,1.91e-09,1.62e-14,1.46e-14
5.90,0.00e+00,0.00e+00,No data,2.14e-08,1.72e-09,1.23e-14,1.09e-14
6.00,0.00e+00,0.00e+00,No data,2.13e-08,1.67e-09,8.59e-15,7.96e-15
6.10,0.00e+00,0.00e+00,No data,2.39e-08,1.70e-09,7.91e-15,8.97e-15
6.20,0.00e+00,0.00e+00,No data,1.96e-08,1.66e-09,6.57e-15,7.86e-15
6.30,0.00e+00,0.00e+00,No data,1.81e-08,1.77e-09,5.64e-15,5.36e-15
6.40,0.00e+00,0.00e+00,No data,1.95e-08,1.65e-09,5.45e-15,4.91e-15
6.50,0.00e+00,0.00e+00,No data,1.80e-08,1.39e-09,3.98e-15,5.53e-15
6.60,0.00e+00,0.00e+00,No data,1.85e-08,1.34e-09,3.75e-15,5.14e-15
6.70,0.00e+00,0.00e+00,No data,1.57e-08,1.58e-09,2.81e-15,3.92e-15
6.80,0.00e+00,0.00e+00,No data,1.53e-08,1.68e-09,2.51e-15,3.37e-15
6.90,0.00e+00,0.00e+00,No data,1.70e-08,1.53e-09,1.95e-15,2.83e-15
7.00,0.00e+00,0.00e+00,No data,1.56e-08,1.78e-09,1.70e-15,2.20e-15
7.10,0.00e+00,0.00e+00,No data,1.22e-08,1.62e-09,1.64e-15,2.20e-15
7.20,0.00e+00,0.00e+00,No data,1.26e-08,1.94e-09,1.46e-15,1.54e-15
7.30,0.00e+00,0.00e+00,No data,1.38e-08,1.89e-09,1.34e-15,1.41e-15
7.40,0.00e+00,0.00e+00,No data,1.43e-08,1.95e-09,1.16e-15,1.30e-15
7.50,0.00e+00,0.00e+00,No data,1.33e-08,1.68e-09,9.47e-16,1.16e-15
7.60,0.00e+00,0.00e+00,No data,1.09e-08,1.28e-09,9.23e-16,1.03e-15
7.70,0.00e+00,0.00e+00,No data,9.51e-09,1.27e-09,7.78e-16,7.93e-16
7.80,0.00e+00,0.00e+00,No data,1.25e-08,1.24e-09,2.92e-15,3.17e-15
7.90,0.00e+00,0.00e+00,No data,1.29e-08,1.60e-09,8.91e-15,8.98e-15
8.00,0.00e+00,0.00e+00,No data,1.12e-08,1.35e-09,6.16e-15,6.19e-15
8.10,0.00e+00,0.00e+00,No data,1.01e-08,1.25e-09,8.54e-16,8.25e-16
8.20,0.00e+00,0.00e+00,No data,9.96e-09,1.10e-09,4.52e-16,5.18e-16
8.30,0.00e+00,0.00e+00,No data,1.08e-08,1.26e-09,3.77e-16,3.58e-16
8.40,0.00e+00,0.00e+00,No data,9.47e-09,1.43e-09,3.45e-16,3.54e-16
8.50,0.00e+00,0.00e+00,No data,8.93e-09,1.11e-09,3.07e-16,3.86e-16
8.60,0.00e+00,0.00e+00,No data,1.03e-08,1.00e-09,3.28e-16,2.85e-16
8.70,0.00e+00,0.00e+00,No data,8.44e-09,1.19e-09,2.48e-16,2.18e-16
8.80,0.00e+00,0.00e+00,No data,8.57e-09,1.16e-09,2.38e-16,1.96e-16
8.90,0.00e+00,0.00e+00,No data,8.07e-09,1.16e-09,2.43e-16,2.18e-16
9.00,0.00e+00,0.00e+00,No data,8.52e-09,1.06e-09,2.23e-16,1.85e-16
9.10,0.00e+00,0.00e+00,No data,9.06e-09,1.34e-09,1.69e-16,1.38e-16
9.20,0.00e+00,0.00e+00,No data,9.13e-09,1.33e-09,1.56e-16,1.49e-16
9.30,0.00e+00,0.00e+00,No data,8.90e-09,1.22e-09,1.76e-16,1.67e-16
9.40,0.00e+00,0.00e+00,No data,7.27e-09,1.34e-09,1.88e-16,2.28e-16
9.50,0.00e+00,0.00e+00,No data,7.65e-09,1.15e-09,2.61e-16,3.60e-16
9.60,0.00e+00,0.00e+00,No data,1.01e-08,1.12e-09,2.54e-16,3.53e-16
9.70,0.00e+00,0.00e+00,No data,7.90e-09,1.68e-09,3.32e-16,2.80e-16
9.80,0.00e+00,0.00e+00,No data,7.93e-09,3.63e-09,5.03e-16,4.44e-16
9.90,0.00e+00,0.00e+00,No data,8.06e-09,4.58e-09,2.55e-16,2.30e-16
10.00,0.00e+00,0.00e+00,No data,6.32e-09,2.13e-09,8.37e-17,9.96e-17
10.10,0.00e+00,0.00e+00,No data,6.02e-09,9.01e-10,7.26e-17,7.44e-17
10.20,0.00e+00,0.00e+00,No data,6.08e-09,1.11e-09,8.09e-17,7.08e-17
10.30,0.00e+00,0.00e+00,No data,7.02e-09,1.37e-09,7.16e-17,6.28e-17
