#combfreq:
#linefreq:
frequency,factor,factor_counts,flag,sensINJ,sensBG,darmINJ,darmBG
5.00,0.00e+00,0.00e+00,No data,9.61e-10,1.40e-09,7.81e-14,1.20e-13
5.10,0.00e+00,0.00e+00,No data,6.39e-10,9.79e-10,7.00e-14,9.67e-14
5.20,0.00e+00,0.00e+00,No data,8.39e-10,7.83e-10,5.24e-14,6.49e-14
5.30,0.00e+00,0.00e+00,No data,1.02e-09,7.02e-10,3.63e-14,6.14e-14
5.40,0.00e+00,0.00e+00,No data,1.41e-09,9.09e-10,3.90e-14,4.43e-14
5.50,0.00e+00,0.00e+00,No data,1.70e-09,1.09e-09,3.60e-14,3.05e-14
5.60,0.00e+00,0.00e+00,No data,1.75e-09,1.06e-09,2.66e-14,2.65e-14
5.70,0.00e+00,0.00e+00,No data,1.25e-09,8.88e-10,1.49e-14,2.32e-14
5.80,0.00e+00,0.00e+00,No data,1.03e-09,7.05e-10,1.15e-14,1.76e-14
5.90,0.00e+00,0.00e+00,No data,1.18e-09,9.08e-10,1.12e-14,1.32e-14
6.00,0.00e+00,0.00e+00,No data,1.71e-09,1.58e-09,1.00e-14,1.07e-14
6.10,0.00e+00,0.00e+00,No data,1.86e-09,1.39e-09,8.31e-15,6.85e-15
6.20,0.00e+00,0.00e+00,No data,1.47e-09,1.23e-09,7.86e-15,6.26e-15
6.30,0.00e+00,0.00e+00,No data,1.60e-09,1.29e-09,6.22e-15,6.94e-15
6.40,0.00e+00,0.00e+00,No data,1.34e-09,1.06e-09,4.98e-15,5.93e-15
6.50,0.00e+00,0.00e+00,No data,8.00e-10,6.84e-10,4.94e-15,3.96e-15
6.60,0.00e+00,0.00e+00,No data,7.82e-10,7.77e-10,4.00e-15,3.06e-15
6.70,0.00e+00,0.00e+00,No data,7.41e-10,7.13e-10,3.35e-15,2.74e-15
6.80,0.00e+00,0.00e+00,No data,5.83e-10,5.92e-10,2.71e-15,2.24e-15
6.90,0.00e+00,0.00e+00,No data,5.42e-10,5.73e-10,2.03e-15,1.54e-15
7.00,0.00e+00,0.00e+00,No data,6.03e-10,6.68e-10,2.14e-15,1.51e-15
7.10,0.00e+00,0.00e+00,No data,7.67e-10,8.51e-10,1.89e-15,1.11e-15
7.20,0.00e+00,0.00e+00,No data,6.95e-10,8.37e-10,1.89e-15,1.01e-15
7.30,0.00e+00,0.00e+00,No data,5.34e-10,1.43e-09,1.38e-15,1.18e-15
7.40,0.00e+00,0.00e+00,No data,5.58e-10,1.10e-09,9.28e-16,9.88e-16
7.50,0.00e+00,0.00e+00,No data,4.88e-10,5.57e-10,8.61e-16,7.98e-16
7.60,0.00e+00,0.00e+00,No data,3.40e-10,6.65e-10,5.46e-16,7.35e-16
7.70,0.00e+00,0.00e+00,No data,4.19e-10,8.52e-10,9.30e-16,7.62e-16
7.80,0.00e+00,0.00e+00,No data,5.46e-10,8.02e-10,5.69e-15,5.38e-15
7.90,0.00e+00,0.00e+00,No data,5.41e-10,6.16e-10,1.68e-14,1.60e-14
8.00,0.00e+00,0.00e+00,No data,4.02e-10,4.21e-10,1.16e-14,1.10e-14
8.10,0.00e+00,0.00e+00,No data,3.85e-10,4.17e-10,1.31e-15,1.29e-15
8.20,0.00e+00,0.00e+00,No data,3.03e-10,4.65e-10,3.93e-16,3.87e-16
8.30,0.00e+00,0.00e+00,No data,3.62e-10,4.55e-10,2.18e-16,2.33e-16
8.40,0.00e+00,0.00e+00,No data,3.50e-10,4.31e-10,2.33e-16,2.35e-16
8.50,0.00e+00,0.00e+00,No data,4.01e-10,3.66e-10,1.99e-16,1.43e-16
8.60,0.00e+00,0.00e+00,No data,4.88e-10,3.67e-10,1.64e-16,1.62e-16
8.70,0.00e+00,0.00e+00,No data,4.67e-10,3.52e-10,1.91e-16,2.02e-16
8.80,0.00e+00,0.00e+00,No data,3.57e-10,3.67e-10,1.22e-16,1.86e-16
8.90,0.00e+00,0.00e+00,No data,2.72e-10,2.97e-10,1.17e-16,1.04e-16
9.00,0.00e+00,0.00e+00,No data,3.19e-10,4.54e-10,1.34e-16,7.44e-17
9.10,0.00e+00,0.00e+00,No data,2.85e-10,4.74e-10,1.09e-16,8.32e-17
9.20,0.00e+00,0.00e+00,No data,3.30e-10,4.17e-10,1.52e-16,1.02e-16
