frequency,amb,flag,channel
7.09,7.4e-19,Measured,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
14.15,5.38e-20,Measured,H1:PEM-EX_MAG_EBAY_SUSRACK_XYZ
21.27,2.51e-21,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
28.36,2.8000000000000004e-21,Measured,H1:PEM-EX_MAG_EBAY_SUSRACK_XYZ
35.48,1.2300000000000002e-21,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
42.58,1.1e-21,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
49.7,7.29e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
56.76,7.42e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
63.91,1.55e-22,Measured,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
71.03,2.1900000000000004e-22,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
78.09,2.34e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
85.18,5.92e-22,Measured,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
92.3,7.220000000000001e-23,Measured,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
99.36,2.89e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
106.52,5.1600000000000004e-23,Measured,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
113.64,1.8399999999999998e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
127.85,2.36e-22,Measured,H1:PEM-EY_MAG_EBAY_SEIRACK_XYZ
134.88,3.64e-23,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
142.03,9.67e-23,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
149.06,4.07e-23,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
156.15,1.57e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
163.33,1.74e-21,Upper Limit,H1:PEM-EX_MAG_EBAY_SEIRACK_XYZ
170.36,1.42e-22,Measured,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
177.48,1.83e-21,Upper Limit,H1:PEM-EX_MAG_EBAY_SEIRACK_XYZ
184.64,1.17e-22,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
192.18,1.4599999999999999e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
198.76,2.28e-23,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
205.76,1.3300000000000001e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
213.03,3.92e-23,Measured,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
220.06,7.710000000000001e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
220.58,2.71e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
227.24,5.1500000000000003e-23,Measured,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
234.12,2.23e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
248.82,2.14e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_INPUTOPTICS_XYZ
