frequency,amb,flag,darm
5.0,0.0,0,3.62e-14
5.03,0.0,0,4.1e-14
5.06,0.0,0,3.43e-14
5.09,0.0,0,4.08e-14
5.12,0.0,0,3.43e-14
5.15,0.0,0,3.14e-14
5.18,0.0,0,3.83e-14
5.21,0.0,0,2.67e-14
5.24,0.0,0,2.52e-14
5.27,0.0,0,1.95e-14
5.3,0.0,0,2.3e-14
5.33,0.0,0,2.21e-14
5.36,0.0,0,1.99e-14
5.39,0.0,0,1.79e-14
5.42,0.0,0,1.52e-14
5.45,0.0,0,1.71e-14
5.48,0.0,0,1.28e-14
5.52,0.0,0,1.29e-14
5.55,0.0,0,1.42e-14
5.58,0.0,0,1.39e-14
5.61,0.0,0,1.38e-14
5.64,0.0,0,1.21e-14
5.67,0.0,0,1.18e-14
5.7,0.0,0,1.19e-14
5.73,0.0,0,1.07e-14
5.76,0.0,0,9.95e-15
5.79,0.0,0,8.26e-15
5.82,0.0,0,7.7e-15
5.85,0.0,0,6.03e-15
5.88,0.0,0,6.33e-15
5.91,0.0,0,6.67e-15
5.955,0.0,0,6.1000000000000005e-15
6.0,0.0,0,5.99e-15
6.03,0.0,0,5.7600000000000005e-15
6.06,0.0,0,5.25e-15
6.09,0.0,0,4.14e-15
6.12,0.0,0,4.45e-15
6.15,0.0,0,4.4799999999999994e-15
6.18,0.0,0,3.95e-15
6.21,0.0,0,3.61e-15
6.24,0.0,0,3.79e-15
6.27,0.0,0,4.33e-15
6.3,0.0,0,3.4200000000000004e-15
6.33,0.0,0,3.49e-15
6.375,0.0,0,3.215e-15
6.42,0.0,0,3.29e-15
6.45,0.0,0,2.58e-15
6.48,0.0,0,2.49e-15
6.52,0.0,0,2.92e-15
6.55,0.0,0,2.9e-15
6.58,0.0,0,2.45e-15
6.61,0.0,0,2.41e-15
6.64,0.0,0,2.31e-15
6.67,0.0,0,2.27e-15
6.715,0.0,0,1.49e-15
6.76,0.0,0,1.8e-15
6.79,0.0,0,1.46e-15
6.82,0.0,0,1.65e-15
6.85,0.0,0,1.8600000000000002e-15
6.88,0.0,0,1.48e-15
6.91,0.0,0,1.31e-15
6.94,0.0,0,1.2e-15
6.984999999999999,0.0,0,1.0655e-15
7.03,0.0,0,1.03e-15
7.06,0.0,0,1.03e-15
7.09,7.820000000000001e-19,1,1.16e-15
7.12,0.0,0,9.67e-16
7.15,0.0,0,8.279999999999999e-16
7.18,0.0,0,8.689999999999999e-16
7.225,0.0,0,8.43e-16
7.27,0.0,0,8.18e-16
7.3,0.0,0,7.82e-16
7.33,0.0,0,7.059999999999999e-16
7.36,0.0,0,7.849999999999999e-16
7.39,0.0,0,6.58e-16
7.42,0.0,0,6.31e-16
7.465,0.0,0,5.985000000000001e-16
7.52,0.0,0,5.41e-16
7.55,0.0,0,6.089999999999999e-16
7.58,0.0,0,5.059999999999999e-16
7.61,0.0,0,6.56e-16
7.654999999999999,0.0,0,4.744999999999999e-16
7.7,0.0,0,4.41e-16
7.73,0.0,0,4.23e-16
7.76,0.0,0,4.04e-16
7.79,0.0,0,5.04e-16
7.82,0.0,0,3.95e-16
7.865,0.0,0,3.215e-16
7.91,0.0,0,3.98e-16
7.94,0.0,0,3.75e-16
