frequency,amb,flag,darm
5.0,3.02e-14,0,3.52e-14
5.1,2.71e-14,0,3.22e-14
5.2,1.39e-14,0,2.73e-14
5.3,1.2e-14,0,2.03e-14
5.4,8.72e-15,0,1.61e-14
5.5,9.26e-15,0,1.36e-14
5.6,6.570000000000001e-15,0,1.03e-14
5.7,4.9100000000000005e-15,0,9.540000000000001e-15
5.8,4.4e-15,0,5.979999999999999e-15
5.9,3.1e-15,0,6.2700000000000005e-15
6.0,2.05e-15,0,4.64e-15
6.1,1.1199999999999999e-15,0,3.69e-15
6.2,8.19e-16,0,3.5899999999999996e-15
6.3,5.58e-16,0,3.2799999999999997e-15
6.4,1.3900000000000001e-15,0,2.82e-15
6.5,1.1099999999999999e-15,0,2.49e-15
6.6,1.03e-15,0,1.79e-15
6.7,6.7e-16,0,1.82e-15
6.8,4.2699999999999994e-16,0,1.27e-15
6.9,3.88e-16,0,1.1699999999999999e-15
7.0,3.54e-16,0,9.22e-16
7.1,2.34e-16,0,8.94e-16
7.2,2.8700000000000003e-16,0,7.93e-16
7.3,1.91e-16,0,5.849999999999999e-16
7.4,1.75e-16,0,5.64e-16
7.5,1.68e-16,0,6.110000000000001e-16
7.6,1.67e-16,0,4.3e-16
7.7,1.95e-16,0,3.5e-16
7.8,6.110000000000001e-16,0,3.41e-16
7.9,1.5099999999999999e-15,0,3.34e-16
8.0,1.7300000000000001e-15,0,2.91e-16
8.149999999999999,1.4650000000000001e-16,0,2.76e-16
8.3,6.16e-17,0,2.51e-16
8.4,4.88e-17,0,1.95e-16
8.5,5.55e-17,0,2.1899999999999998e-16
8.6,4.45e-17,0,2.1e-16
8.7,8.070000000000001e-17,0,1.84e-16
8.8,7.01e-17,0,1.8600000000000001e-16
8.9,5.71e-17,0,1.6599999999999999e-16
9.0,4.06e-17,0,1.67e-16
9.1,3.95e-17,0,1.6e-16
9.2,3.5299999999999996e-17,0,1.46e-16
9.3,3.34e-17,0,1.47e-16
9.4,8.75e-17,0,1.73e-16
9.55,5.9e-17,0,1.865e-16
9.7,2.1e-17,0,1.3999999999999998e-16
9.8,3.74e-17,1,1.85e-16
9.9,3.2299999999999996e-17,0,1.3600000000000002e-16
10.0,2.81e-17,0,1.07e-16
10.1,1.4300000000000002e-17,0,8.809999999999999e-17
10.2,1.65e-17,0,9.47e-17
10.3,1.4000000000000003e-17,0,7.879999999999999e-17
10.4,1.5e-17,0,6.78e-17
10.5,1.07e-17,0,6.39e-17
10.649999999999999,1.106e-17,0,5.93e-17
10.8,5.58e-18,0,5.08e-17
10.9,6.49e-18,0,4.6200000000000004e-17
11.0,4.51e-18,0,3.8e-17
11.1,3.22e-18,0,2.96e-17
11.2,4.2799999999999996e-18,0,2.8600000000000005e-17
11.3,5.89e-18,0,2.22e-17
11.4,4.1599999999999994e-18,0,2.44e-17
11.55,2.74e-18,0,2.0100000000000002e-17
11.7,4e-18,0,1.79e-17
11.8,2.13e-18,0,1.6e-17
11.9,2.2700000000000002e-18,0,1.32e-17
12.0,3.3e-18,0,1.2e-17
12.1,2.86e-18,0,1.17e-17
12.2,2.81e-18,0,1.21e-17
12.350000000000001,2.381e-18,1,1.02e-17
12.5,1.74e-18,1,7.56e-18
12.6,2.1499999999999997e-18,0,7.07e-18
12.7,1.95e-18,0,7.11e-18
12.8,1.84e-18,0,7.29e-18
12.9,1.4699999999999999e-18,0,6.98e-18
13.0,1.9e-18,0,5.81e-18
13.149999999999999,1.5399999999999999e-18,0,5.52e-18
13.3,1.7600000000000003e-18,0,4.94e-18
13.4,1.38e-18,0,3.94e-18
13.5,1.22e-18,0,4.53e-18
13.6,0.0,0,7.080000000000001e-18
