#combfreqs:
frequency,factor,factor_counts,flag,ambient,darm
5.00,0.00e+00,0.00e+00,No data,0.00e+00,2.10e-16
5.10,0.00e+00,0.00e+00,No data,0.00e+00,2.60e-16
5.20,0.00e+00,0.00e+00,No data,0.00e+00,3.74e-16
5.30,0.00e+00,0.00e+00,No data,0.00e+00,5.33e-16
5.40,0.00e+00,0.00e+00,No data,0.00e+00,6.68e-16
5.50,0.00e+00,0.00e+00,No data,0.00e+00,8.78e-16
5.60,0.00e+00,0.00e+00,No data,0.00e+00,1.44e-15
5.70,0.00e+00,0.00e+00,No data,0.00e+00,1.53e-15
5.80,0.00e+00,0.00e+00,No data,0.00e+00,2.07e-15
5.90,0.00e+00,0.00e+00,No data,0.00e+00,3.18e-15
6.00,0.00e+00,0.00e+00,No data,0.00e+00,4.79e-15
6.10,0.00e+00,0.00e+00,No data,0.00e+00,5.27e-15
6.20,0.00e+00,0.00e+00,No data,0.00e+00,4.76e-15
6.30,0.00e+00,0.00e+00,No data,0.00e+00,3.73e-15
6.40,0.00e+00,0.00e+00,No data,0.00e+00,3.63e-15
6.50,0.00e+00,0.00e+00,No data,0.00e+00,3.64e-15
6.60,0.00e+00,0.00e+00,No data,0.00e+00,3.42e-15
6.70,0.00e+00,0.00e+00,No data,0.00e+00,2.89e-15
6.80,0.00e+00,0.00e+00,No data,0.00e+00,3.11e-15
6.90,0.00e+00,0.00e+00,No data,0.00e+00,3.62e-15
7.00,0.00e+00,0.00e+00,No data,0.00e+00,3.42e-15
7.10,3.05e-10,3.58e-11,Upper Limit,6.40e-16,3.52e-15
7.20,2.36e-10,2.77e-11,Upper Limit,5.43e-16,3.24e-15
7.30,1.37e-10,1.61e-11,Upper Limit,3.15e-16,2.81e-15
7.40,1.43e-10,1.68e-11,Upper Limit,3.19e-16,2.61e-15
7.50,1.29e-10,1.52e-11,Upper Limit,2.63e-16,2.33e-15
7.60,1.03e-10,1.21e-11,Upper Limit,2.40e-16,1.94e-15
7.70,7.06e-11,8.29e-12,Upper Limit,1.55e-16,1.67e-15
7.80,5.06e-11,5.94e-12,Upper Limit,9.77e-17,1.41e-15
7.90,3.79e-11,4.45e-12,Upper Limit,6.86e-17,1.00e-15
8.00,2.68e-11,3.15e-12,Upper Limit,5.49e-17,7.60e-16
8.10,1.95e-11,2.29e-12,Upper Limit,4.54e-17,7.17e-16
8.20,1.35e-11,1.58e-12,Upper Limit,2.97e-17,6.94e-16
8.30,9.01e-12,1.06e-12,Upper Limit,1.77e-17,5.70e-16
8.40,7.64e-12,8.96e-13,Upper Limit,1.47e-17,5.07e-16
8.50,1.03e-11,1.21e-12,Upper Limit,2.01e-17,5.46e-16
8.60,1.09e-11,1.28e-12,Upper Limit,2.07e-17,6.32e-16
8.70,7.46e-12,8.75e-13,Upper Limit,1.43e-17,5.35e-16
8.80,5.14e-12,6.04e-13,Upper Limit,1.09e-17,4.52e-16
8.90,4.21e-12,4.94e-13,Upper Limit,9.98e-18,4.63e-16
9.00,3.50e-12,4.10e-13,Upper Limit,8.72e-18,5.14e-16
9.10,4.12e-12,4.84e-13,Upper Limit,8.20e-18,4.82e-16
