#combfreq:
#linefreq:
frequency,factor,factor_counts,flag,sensINJ,sensBG,darmINJ,darmBG
5.00,0.00e+00,0.00e+00,No data,1.99e-06,2.40e-06,4.75e-14,4.72e-14
5.06,0.00e+00,0.00e+00,No data,2.01e-06,1.79e-06,5.00e-14,4.28e-14
5.12,0.00e+00,0.00e+00,No data,2.01e-06,1.54e-06,5.59e-14,4.12e-14
5.18,0.00e+00,0.00e+00,No data,2.06e-06,1.73e-06,4.19e-14,3.35e-14
5.24,0.00e+00,0.00e+00,No data,2.20e-06,1.91e-06,3.56e-14,2.63e-14
5.29,0.00e+00,0.00e+00,No data,1.72e-06,2.09e-06,2.83e-14,2.42e-14
5.35,0.00e+00,0.00e+00,No data,1.23e-06,1.97e-06,2.62e-14,2.74e-14
5.41,0.00e+00,0.00e+00,No data,1.89e-06,2.18e-06,2.15e-14,2.73e-14
5.47,0.00e+00,0.00e+00,No data,1.79e-06,2.06e-06,1.96e-14,1.71e-14
5.53,0.00e+00,0.00e+00,No data,1.88e-06,2.32e-06,1.93e-14,1.33e-14
5.59,0.00e+00,0.00e+00,No data,1.64e-06,2.13e-06,1.73e-14,1.69e-14
5.65,0.00e+00,0.00e+00,No data,1.83e-06,2.04e-06,1.22e-14,1.19e-14
5.71,0.00e+00,0.00e+00,No data,1.88e-06,2.26e-06,1.32e-14,1.43e-14
5.76,0.00e+00,0.00e+00,No data,1.91e-06,1.98e-06,1.19e-14,1.68e-14
5.82,0.00e+00,0.00e+00,No data,2.06e-06,1.88e-06,1.28e-14,1.44e-14
5.88,0.00e+00,0.00e+00,No data,2.03e-06,1.58e-06,1.23e-14,1.27e-14
5.94,0.00e+00,0.00e+00,No data,1.69e-06,1.54e-06,1.09e-14,9.32e-15
6.00,0.00e+00,0.00e+00,No data,1.50e-06,1.54e-06,9.46e-15,8.56e-15
6.06,0.00e+00,0.00e+00,No data,1.91e-06,1.65e-06,6.42e-15,7.21e-15
6.12,0.00e+00,0.00e+00,No data,1.87e-06,1.85e-06,8.23e-15,4.68e-15
6.18,0.00e+00,0.00e+00,No data,1.56e-06,1.84e-06,6.82e-15,5.17e-15
6.24,0.00e+00,0.00e+00,No data,1.72e-06,1.52e-06,4.29e-15,5.07e-15
6.29,0.00e+00,0.00e+00,No data,1.46e-06,1.66e-06,4.65e-15,5.85e-15
6.35,0.00e+00,0.00e+00,No data,1.64e-06,1.54e-06,5.48e-15,5.90e-15
6.41,0.00e+00,0.00e+00,No data,1.47e-06,1.31e-06,5.82e-15,5.28e-15
6.47,0.00e+00,0.00e+00,No data,1.39e-06,1.19e-06,4.45e-15,4.47e-15
6.53,0.00e+00,0.00e+00,No data,1.86e-06,1.33e-06,3.72e-15,3.47e-15
6.59,0.00e+00,0.00e+00,No data,1.85e-06,1.74e-06,3.52e-15,3.81e-15
6.65,0.00e+00,0.00e+00,No data,1.46e-06,2.00e-06,3.63e-15,3.60e-15
6.71,0.00e+00,0.00e+00,No data,1.23e-06,2.06e-06,3.09e-15,3.37e-15
6.76,0.00e+00,0.00e+00,No data,1.56e-06,2.09e-06,2.82e-15,3.41e-15
